"ORDER #","SKC","PRIORITY","PRODUCT TYPE","SUPPLIER","REORDER","LAUNCHED DATE","TARGET","PRICE NEGOTIATED","Fabric MAIN FABRIC SUPPLIER","Fabric STATUS","PRINT TYPE","Fabric MAIN FABRIC COST","ORDER QUANTITY","YYYY/MM/DD ORDER PIMS DATE","Reorder YYYY/MM/DD FABRIC ORDER","PIMS ORDER STATUS","Reorder REORDER REMARK","YYYY/MM/DD ORDER SCHEDULED","Reorder LASER CUTTING (SUPPLIER)","Fabric 大货料已备 FABRIC DONE","Fabric YYYY/MM/DD FABRIC REMARK","Fabric YYYY/MM/DD FABRIC DELIVERY DATE","ORDER DELIVERY DATE"
"ORD-0001","SKC101","High","T-shirt","Supplier A","John","2025-01-10","5.00","4.80","Fabric Co. A","Approved","Solid","2.00","500","2025-01-15","2025-01-16","In Production","Urgent reorder","2025-02-10","Cutter A","Yes","2025-01-20","2025-02-05","2025-02-20"
"ORD-0002","SKC102","Medium","Pants","Supplier B","No","2025-01-12","6.50","6.20","Fabric Co. B","Rejected","Localized","3.00","300","2025-01-14","2025-01-15","Open","Awaiting confirmation","2025-02-12","Cutter B","No","2025-01-22","2025-02-10","2025-02-18"
"ORD-0003","SKC103","Low","Dress","Supplier C","Susan","2025-02-01","8.00","7.50","Fabric Co. C","Approved","Corrida","3.50","250","2025-02-05","2025-02-07","In Production","Sample check","2025-03-01","Cutter C","In progress","2025-02-10","2025-02-25","2025-03-10"
"ORD-0004","SKC104","High","Shorts","Supplier D","Maria","2025-02-05","4.20","4.00","Fabric Co. D","Approved","Localized","2.10","400","2025-02-07","2025-02-10","Open","Price negotiation","2025-03-10","Cutter D","Yes","2025-02-14","2025-03-05","2025-03-20"
"ORD-0005","SKC105","Medium","Jacket","Supplier A","No","2025-02-10","10.50","10.00","Fabric Co. A","Rejected","Solid","4.00","150","2025-02-12","2025-02-13","In Production","Awaiting material","2025-03-15","Cutter A","No","2025-02-20","2025-03-10","2025-03-25"
"ORD-0006","SKC106","Low","T-shirt","Supplier B","Robert","2025-03-01","5.25","5.00","Fabric Co. B","Approved","Corrida","2.05","600","2025-03-03","2025-03-05","Open","Standard reorder","2025-04-01","Cutter B","Yes","2025-03-10","2025-03-25","2025-04-05"
"ORD-0007","SKC107","High","Pants","Supplier C","No","2025-03-05","7.00","6.50","Fabric Co. C","Approved","Localized","3.00","280","2025-03-07","2025-03-08","In Production","Urgent shipping","2025-04-10","Cutter C","Yes","2025-03-18","2025-04-05","2025-04-20"
"ORD-0008","SKC108","Medium","Dress","Supplier D","John","2025-03-15","9.30","9.00","Fabric Co. D","Approved","Solid","3.70","310","2025-03-17","2025-03-19","In Production","Design changed","2025-04-20","Cutter D","No","2025-03-25","2025-04-10","2025-04-30"
"ORD-0009","SKC109","Low","Shorts","Supplier A","Susan","2025-04-01","4.80","4.50","Fabric Co. A","Approved","Corrida","2.50","450","2025-04-03","2025-04-05","Open","Quality check","2025-05-01","Cutter A","Yes","2025-04-10","2025-04-25","2025-05-10"
"ORD-0010","SKC110","High","Jacket","Supplier B","Maria","2025-04-05","11.00","10.50","Fabric Co. B","Rejected","Localized","3.90","200","2025-04-07","2025-04-08","In Production","Late reorder","2025-05-10","Cutter B","No","2025-04-15","2025-05-05","2025-05-20"
