"ORDER #","SKC","PRIORITY","PRODUCT TYPE","SUPPLIER","REORDER","LAUNCHED DATE","TARGET","PRICE NEGOTIATED","Fabric MAIN FABRIC SUPPLIER","Fabric STATUS","PRINT TYPE","Fabric MAIN FABRIC COST","ORDER QUANTITY","YYYY/MM/DD ORDER PIMS DATE","Reorder YYYY/MM/DD FABRIC ORDER","PIMS ORDER STATUS","Reorder REORDER REMARK","YYYY/MM/DD ORDER SCHEDULED","Reorder LASER CUTTING (SUPPLIER)","Fabric 大货料已备 FABRIC DONE","Fabric YYYY/MM/DD FABRIC REMARK","Fabric YYYY/MM/DD FABRIC DELIVERY DATE","ORDER DELIVERY DATE"
"ORD-2024-001","SKC101","High","T-shirt","Supplier A","John","2024-01-05","5.00","4.80","Fabric Co. A","Approved","Solid","2.00","500","2024-01-10","2024-01-12","In Production","Urgent reorder","2024-02-01","Cutter A","Yes","2024-01-18","2024-01-30","2024-02-15"
"ORD-2024-002","SKC102","Medium","Pants","Supplier B","No","2024-01-12","6.50","6.20","Fabric Co. B","Rejected","Localized","3.00","300","2024-01-14","2024-01-15","Open","Awaiting info","2024-02-10","Cutter B","No","2024-01-22","2024-02-08","2024-02-20"
"ORD-2024-003","SKC103","Low","Dress","Supplier C","Susan","2024-01-18","8.00","7.60","Fabric Co. C","Approved","Corrida","3.20","250","2024-01-20","2024-01-22","In Production","Sample revision","2024-02-15","Cutter C","Yes","2024-01-25","2024-02-10","2024-02-28"
"ORD-2024-004","SKC104","High","Shorts","Supplier D","Maria","2024-01-25","4.20","4.00","Fabric Co. D","Approved","Localized","2.10","450","2024-01-27","2024-01-29","Open","Price negotiation","2024-02-18","Cutter D","In progress","2024-02-01","2024-02-14","2024-03-01"
"ORD-2024-005","SKC105","Medium","Jacket","Supplier A","No","2024-02-02","10.50","10.00","Fabric Co. A","Rejected","Solid","4.00","180","2024-02-04","2024-02-06","In Production","Awaiting material","2024-03-01","Cutter A","No","2024-02-10","2024-02-28","2024-03-15"
"ORD-2024-006","SKC106","Low","T-shirt","Supplier B","Robert","2024-02-05","5.25","5.00","Fabric Co. B","Approved","Corrida","2.05","600","2024-02-07","2024-02-08","Open","Standard reorder","2024-03-05","Cutter B","Yes","2024-02-14","2024-02-28","2024-03-10"
"ORD-2024-007","SKC107","High","Pants","Supplier C","No","2024-02-10","7.00","6.60","Fabric Co. C","Approved","Localized","3.10","320","2024-02-12","2024-02-14","In Production","Urgent shipping","2024-03-10","Cutter C","Yes","2024-02-20","2024-03-05","2024-03-20"
"ORD-2024-008","SKC108","Medium","Dress","Supplier D","John","2024-02-15","9.30","9.00","Fabric Co. D","Approved","Solid","3.50","350","2024-02-17","2024-02-19","In Production","Design changed","2024-03-15","Cutter D","No","2024-02-23","2024-03-12","2024-03-28"
"ORD-2024-009","SKC109","Low","Shorts","Supplier A","Susan","2024-03-01","4.80","4.50","Fabric Co. A","Approved","Corrida","2.40","410","2024-03-03","2024-03-05","Open","Quality check","2024-04-01","Cutter A","Yes","2024-03-10","2024-03-25","2024-04-05"
"ORD-2024-010","SKC110","High","Jacket","Supplier B","Maria","2024-03-05","11.00","10.40","Fabric Co. B","Rejected","Localized","3.90","220","2024-03-07","2024-03-09","In Production","Late reorder","2024-04-05","Cutter B","No","2024-03-15","2024-03-30","2024-04-15"
"ORD-2024-011","SKC111","Medium","T-shirt","Supplier C","Robert","2024-03-10","5.50","5.20","Fabric Co. C","Approved","Solid","2.10","550","2024-03-12","2024-03-13","Open","Delayed reorder","2024-04-10","Cutter C","In progress","2024-03-18","2024-04-05","2024-04-20"
"ORD-2024-012","SKC112","Low","Pants","Supplier D","No","2024-03-15","6.75","6.50","Fabric Co. D","Approved","Localized","3.25","280","2024-03-17","2024-03-19","In Production","Final reorder","2024-04-15","Cutter D","Yes","2024-03-22","2024-04-10","2024-04-25"
"ORD-2024-013","SKC113","High","T-shirt","Supplier A","John","2024-04-01","5.10","4.90","Fabric Co. A","Approved","Solid","2.00","510","2024-04-03","2024-04-05","In Production","Flash reorder","2024-05-01","Cutter A","Yes","2024-04-10","2024-04-28","2024-05-15"
"ORD-2024-014","SKC114","Medium","Pants","Supplier B","No","2024-04-05","6.00","5.80","Fabric Co. B","Rejected","Localized","3.15","290","2024-04-07","2024-04-08","Open","Awaiting update","2024-05-03","Cutter B","No","2024-04-12","2024-04-28","2024-05-10"
"ORD-2024-015","SKC115","Low","Dress","Supplier C","Susan","2024-04-10","8.20","7.80","Fabric Co. C","Approved","Corrida","3.40","260","2024-04-12","2024-04-14","In Production","Design revision","2024-05-10","Cutter C","Yes","2024-04-18","2024-05-02","2024-05-20"
"ORD-2024-016","SKC116","High","Shorts","Supplier D","Maria","2024-04-15","4.50","4.20","Fabric Co. D","Approved","Localized","2.15","470","2024-04-17","2024-04-18","Open","Price recheck","2024-05-12","Cutter D","In progress","2024-04-23","2024-05-05","2024-05-25"
"ORD-2024-017","SKC117","Medium","Jacket","Supplier A","No","2024-05-01","10.10","9.80","Fabric Co. A","Rejected","Solid","4.05","190","2024-05-03","2024-05-05","In Production","Material pending","2024-06-01","Cutter A","No","2024-05-09","2024-05-25","2024-06-10"
"ORD-2024-018","SKC118","Low","T-shirt","Supplier B","Robert","2024-05-05","5.40","5.10","Fabric Co. B","Approved","Corrida","2.08","610","2024-05-07","2024-05-08","Open","Reorder standard","2024-06-05","Cutter B","Yes","2024-05-12","2024-05-30","2024-06-15"
"ORD-2024-019","SKC119","High","Pants","Supplier C","No","2024-05-10","7.20","6.90","Fabric Co. C","Approved","Localized","3.20","330","2024-05-12","2024-05-14","In Production","Express shipping","2024-06-10","Cutter C","Yes","2024-05-20","2024-06-04","2024-06-20"
"ORD-2024-020","SKC120","Medium","Dress","Supplier D","John","2024-05-15","9.10","8.80","Fabric Co. D","Approved","Solid","3.45","370","2024-05-17","2024-05-19","In Production","Alter design","2024-06-15","Cutter D","No","2024-05-24","2024-06-10","2024-06-28"
"ORD-2024-021","SKC121","Low","Shorts","Supplier A","Susan","2024-06-01","4.90","4.60","Fabric Co. A","Approved","Corrida","2.25","420","2024-06-03","2024-06-04","Open","Check quality","2024-07-01","Cutter A","Yes","2024-06-10","2024-06-25","2024-07-10"
"ORD-2024-022","SKC122","High","Jacket","Supplier B","Maria","2024-06-05","11.20","10.70","Fabric Co. B","Rejected","Localized","3.95","210","2024-06-07","2024-06-08","In Production","Late reorder","2024-07-05","Cutter B","No","2024-06-15","2024-06-30","2024-07-20"
"ORD-2024-023","SKC123","Medium","T-shirt","Supplier C","Robert","2024-06-10","5.60","5.25","Fabric Co. C","Approved","Solid","2.12","560","2024-06-12","2024-06-13","Open","Delayed reorder","2024-07-10","Cutter C","In progress","2024-06-18","2024-07-02","2024-07-18"
"ORD-2024-024","SKC124","Low","Pants","Supplier D","No","2024-06-15","6.90","6.60","Fabric Co. D","Approved","Localized","3.35","290","2024-06-17","2024-06-19","In Production","Final reorder","2024-07-15","Cutter D","Yes","2024-06-22","2024-07-08","2024-07-25"
"ORD-2024-025","SKC125","High","T-shirt","Supplier A","John","2024-07-01","5.30","5.00","Fabric Co. A","Approved","Solid","2.05","530","2024-07-03","2024-07-05","In Production","Hot reorder","2024-08-01","Cutter A","Yes","2024-07-10","2024-07-25","2024-08-10"
"ORD-2024-026","SKC126","Medium","Pants","Supplier B","No","2024-07-08","6.10","5.80","Fabric Co. B","Rejected","Localized","3.10","310","2024-07-10","2024-07-12","Open","Pending update","2024-08-05","Cutter B","No","2024-07-15","2024-08-01","2024-08-15"
"ORD-2024-027","SKC127","Low","Dress","Supplier C","Susan","2024-07-12","8.30","7.90","Fabric Co. C","Approved","Corrida","3.50","280","2024-07-14","2024-07-16","In Production","Design recheck","2024-08-10","Cutter C","Yes","2024-07-20","2024-08-05","2024-08-22"
"ORD-2024-028","SKC128","High","Shorts","Supplier D","Maria","2024-07-18","4.70","4.40","Fabric Co. D","Approved","Localized","2.20","490","2024-07-20","2024-07-22","Open","Price adjustment","2024-08-12","Cutter D","In progress","2024-07-25","2024-08-10","2024-08-25"
"ORD-2024-029","SKC129","Medium","Jacket","Supplier A","No","2024-08-01","10.00","9.60","Fabric Co. A","Rejected","Solid","4.10","200","2024-08-03","2024-08-04","In Production","Awaiting material","2024-09-01","Cutter A","No","2024-08-10","2024-08-28","2024-09-12"
"ORD-2024-030","SKC130","Low","T-shirt","Supplier B","Robert","2024-08-05","5.55","5.20","Fabric Co. B","Approved","Corrida","2.15","620","2024-08-07","2024-08-09","Open","Reorder standard","2024-09-05","Cutter B","Yes","2024-08-14","2024-08-30","2024-09-15"
"ORD-2024-031","SKC131","High","Pants","Supplier C","No","2024-08-10","7.25","6.95","Fabric Co. C","Approved","Localized","3.25","350","2024-08-12","2024-08-14","In Production","Express shipping","2024-09-10","Cutter C","Yes","2024-08-20","2024-09-05","2024-09-20"
"ORD-2024-032","SKC132","Medium","Dress","Supplier D","John","2024-08-18","9.20","8.90","Fabric Co. D","Approved","Solid","3.45","380","2024-08-20","2024-08-22","In Production","Alter design","2024-09-15","Cutter D","No","2024-08-25","2024-09-10","2024-09-28"
"ORD-2024-033","SKC133","Low","Shorts","Supplier A","Susan","2024-09-01","4.90","4.60","Fabric Co. A","Approved","Corrida","2.45","420","2024-09-03","2024-09-05","Open","Check quality","2024-10-01","Cutter A","Yes","2024-09-10","2024-09-25","2024-10-10"
"ORD-2024-034","SKC134","High","Jacket","Supplier B","Maria","2024-09-05","11.30","10.80","Fabric Co. B","Rejected","Localized","3.95","240","2024-09-07","2024-09-09","In Production","Late reorder","2024-10-05","Cutter B","No","2024-09-15","2024-09-30","2024-10-20"
"ORD-2024-035","SKC135","Medium","T-shirt","Supplier C","Robert","2024-09-10","5.65","5.35","Fabric Co. C","Approved","Solid","2.12","570","2024-09-12","2024-09-13","Open","Delayed reorder","2024-10-10","Cutter C","In progress","2024-09-18","2024-10-05","2024-10-22"
"ORD-2024-036","SKC136","Low","Pants","Supplier D","No","2024-09-15","6.85","6.55","Fabric Co. D","Approved","Localized","3.30","295","2024-09-17","2024-09-19","In Production","Final reorder","2024-10-15","Cutter D","Yes","2024-09-22","2024-10-08","2024-10-25"
"ORD-2024-037","SKC137","High","T-shirt","Supplier A","John","2024-10-01","5.40","5.10","Fabric Co. A","Approved","Solid","2.05","540","2024-10-03","2024-10-04","In Production","Flash reorder","2024-11-01","Cutter A","Yes","2024-10-10","2024-10-28","2024-11-15"
"ORD-2024-038","SKC138","Medium","Pants","Supplier B","No","2024-10-08","6.00","5.70","Fabric Co. B","Rejected","Localized","3.20","310","2024-10-10","2024-10-12","Open","Awaiting update","2024-11-05","Cutter B","No","2024-10-15","2024-10-30","2024-11-12"
"ORD-2024-039","SKC139","Low","Dress","Supplier C","Susan","2024-10-12","8.20","7.85","Fabric Co. C","Approved","Corrida","3.45","280","2024-10-14","2024-10-15","In Production","Design revision","2024-11-10","Cutter C","Yes","2024-10-20","2024-11-02","2024-11-20"
"ORD-2024-040","SKC140","High","Shorts","Supplier D","Maria","2024-10-18","4.60","4.30","Fabric Co. D","Approved","Localized","2.20","480","2024-10-20","2024-10-22","Open","Price recheck","2024-11-12","Cutter D","In progress","2024-10-25","2024-11-08","2024-11-25"
"ORD-2024-041","SKC141","Medium","Jacket","Supplier A","No","2024-11-01","10.20","9.90","Fabric Co. A","Rejected","Solid","4.05","210","2024-11-03","2024-11-05","In Production","Material pending","2024-12-01","Cutter A","No","2024-11-09","2024-11-25","2024-12-10"
"ORD-2024-042","SKC142","Low","T-shirt","Supplier B","Robert","2024-11-05","5.40","5.10","Fabric Co. B","Approved","Corrida","2.10","600","2024-11-07","2024-11-08","Open","Reorder standard","2024-12-05","Cutter B","Yes","2024-11-12","2024-11-28","2024-12-15"
"ORD-2024-043","SKC143","High","Pants","Supplier C","No","2024-11-10","7.20","6.85","Fabric Co. C","Approved","Localized","3.25","340","2024-11-12","2024-11-14","In Production","Express shipping","2024-12-10","Cutter C","Yes","2024-11-18","2024-12-05","2024-12-20"
"ORD-2024-044","SKC144","Medium","Dress","Supplier D","John","2024-11-15","9.10","8.70","Fabric Co. D","Approved","Solid","3.50","380","2024-11-17","2024-11-19","In Production","Alter design","2024-12-15","Cutter D","No","2024-11-23","2024-12-10","2024-12-28"
"ORD-2024-045","SKC145","Low","Shorts","Supplier A","Susan","2024-12-01","4.70","4.40","Fabric Co. A","Approved","Corrida","2.30","420","2024-12-03","2024-12-05","Open","Check quality","2025-01-05","Cutter A","Yes","2024-12-10","2024-12-25","2025-01-10"
"ORD-2024-046","SKC146","High","Jacket","Supplier B","Maria","2024-12-05","11.10","10.60","Fabric Co. B","Rejected","Localized","4.00","220","2024-12-07","2024-12-08","In Production","Late reorder","2025-01-07","Cutter B","No","2024-12-15","2024-12-30","2025-01-20"
"ORD-2024-047","SKC147","Medium","T-shirt","Supplier C","Robert","2024-12-10","5.70","5.35","Fabric Co. C","Approved","Solid","2.15","580","2024-12-12","2024-12-14","Open","Delayed reorder","2025-01-10","Cutter C","In progress","2024-12-18","2025-01-04","2025-01-25"
